,Time,Tweet,User,Location,Retweets,Likes
41,2022-11-23 20:04:09+00:00,@TruckersVote JD Vance got elected here in Ohio by lying that Tim Ryan and the Democrats raised taxes on low to middle income Americans. Said they also wanted new IRS agents to go after middle class(not rich tax cheats!) BS made me want to throw something at the tv every time it came on.,tomthomas578,United States,0,1
42,2022-11-23 19:57:43+00:00,@DavidPepper Deplorable.  Wondering what explains how OH voters could elect JD Vance over Tim Ryan?  Something else is going on in OH that Dems need to figure out.,eadeere,,0,0
43,2022-11-23 19:36:42+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",wanderingmagus,Middle Earth,584,0
44,2022-11-23 19:30:55+00:00,@AEiffel95 @LRiddickESPN I don't know he may have voted for JD Vance.,bluucollarbro,locked out of paradise,0,0
45,2022-11-23 19:16:12+00:00,@DocSee3 i still dont get how ohio feel for the jd vance trap. they cant cry after he does nothing to help them and only cares about all the bull bleep from the maga base.,snackgod,livermore,0,0
46,2022-11-23 19:03:20+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",JayneHo30995128,United States,584,0
47,2022-11-23 19:02:53+00:00,"@Onlymaybenate @ET_Californian While JD Vance is slimy and unimaginably terrible, I’d trust him enough to eat a pudding cup unsupervised where I wouldn’t trust Walker.",demon_helpful,"Honolulu, HI",0,1
48,2022-11-23 18:52:30+00:00,"Why are Texans being paid to take over American States only residing 2 yrs if that?
Scott
Walker, etc…..
This is dirty money pool, we are not letting this Country get like screwed up like Texas.🤬🤬🤬🤬🤬🤬🤬🤬
Ted Cruz bad
Abbott bad man JD Vance. All evil people.",305SeaBird65,"Key Largo, FL",0,0
49,2022-11-23 18:52:13+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,bming5,"Denver, colorado",108,0
50,2022-11-23 18:51:28+00:00,"@PeteJoh91494931 @realLizUSA JD Vance of Ohio. MAGA are just pissed on and looking for political and cultural(culture war) revenge… because they have dined on fear, hate and grievances sold to you by rush, Hannity Bannon ( who by the way are or were the media)… then MAGA and social media echo chambers. https://t.co/nUuZVDgfIe",MrGreen96385653,"Omaha, NE",0,0
51,2022-11-23 18:36:56+00:00,"My complaints about lack of acknowledgement of mass shootings are pointless, anyway, since we'd just get the same ""Jane and I are horrified by the violence..."" rhetoric. I think JD Vance will say things like guests of Tucker Carlson who claim the gays deserved what they got.💔",thockman64,"Columbus, OH",0,1
52,2022-11-23 18:35:28+00:00,RT @kreerpro: JD Vance came to Dayton. He decried the crime rate here (which is down 20% since 20) and that families can't come downtown fo…,findjacob,,2,0
53,2022-11-23 18:27:58+00:00,"Why would people vote early if they didn’t vote at all? GOP and DNC have totally ignored White people. White people turn out for good policies. Rob doesn’t want to talk about good policy tho and the GOP have none. 

JD Vance did well. He ran a populist campaign. Stop lying, Rob. https://t.co/379ETgLNji",NJPeterTefft,,0,10
54,2022-11-23 18:23:00+00:00,@demon_helpful @ET_Californian Idk if it's even possible but then JD Vance won the primary and general in Ohio so at this point nothing surprises me,Onlymaybenate,Ocean State,0,1
55,2022-11-23 18:07:21+00:00,RT @LahavHarkov: This is interesting https://t.co/TnIPCkDdII,reethanfreedman,Israel,5,0
56,2022-11-23 18:07:00+00:00,RT @LahavHarkov: This is interesting https://t.co/TnIPCkDdII,JoshKraushaar,"Washington, DC",5,0
57,2022-11-23 18:03:22+00:00,This is interesting https://t.co/TnIPCkDdII,LahavHarkov,Jerusalem\Tel Aviv,5,11
58,2022-11-23 17:59:14+00:00,"JD Vance is making a fool of himself already https://t.co/vBMlwOCwD0 via @PalmerReport 
This is especially nauseating in view of Vance’s sugar-daddies, Thiel and McConnell.",SIwanisziw,massachusetts usa,0,0
59,2022-11-23 17:56:22+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,TechlibTate,USA,79,0
60,2022-11-23 17:48:54+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,scotchmac1,"Wisconsin, USA",108,0
61,2022-11-23 17:24:58+00:00,@MichaelFromIL @MillerStanIL Not saying I support it but that’s the likely outcome and in Ohio don’t be surprised if the people in power don’t get punished JD Vance won by 6.5 against an amazing dem candidate so I don’t think there’s hope for the Ohio democrats,Kadenfarr,Ur moms house ,0,0
62,2022-11-23 17:23:02+00:00,"RT @RichardMThomps1: @ElieNYC Had Merrick Garland is not the coward that he is, and prosecuted the white nationalist former republican pres…",psychwriter1515,"Portland, OR",5,0
63,2022-11-23 17:19:55+00:00,JD Vance is making a fool of himself already - Palmer Report https://t.co/WRFTZeTcyw,RiskAlert,"Parkland, FL",0,0
64,2022-11-23 17:11:33+00:00,"RT @MyDogsMom12: @itsJeffTiedrich Their names are Greg Abbott, Ron DeSantis, Marjorie Taylor Greene, Matt Gaetz, Ron Johnson, JD Vance, Pet…",BruceJe90794968,,2,0
65,2022-11-23 17:06:42+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,TwitRitter,"Colorado, USA",108,0
66,2022-11-23 17:04:59+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,patsdunc,Colorado,108,0
67,2022-11-23 16:45:12+00:00,"@KDunke @mattgaetz I like Matt Gaetz, JD Vance, Jim Jordan, ect… every Trump endorsed Republican candidate I like. The only thing I’m against is the war in Ukraine and Republicans need to stop supporting the war in Ukraine.",CKGMJG777,,0,0
68,2022-11-23 16:39:50+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,ja90222579,,79,0
69,2022-11-23 16:36:44+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,JrHollis60,,79,0
70,2022-11-23 16:26:50+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,MaryNesham,Central Ohio,79,0
71,2022-11-23 16:22:37+00:00,WOW: JD Vance Stuns with Epic Election Victory https://t.co/ymJytEk9Ik,purplepismire,"Missouri, USA",0,0
72,2022-11-23 16:13:46+00:00,"@OSU_AD When Ohio elects people Gym Jordan and JD Vance to represent them, America has a pretty good idea of what Ohio's values...",ThePKG,"Massachusetts, USA",0,2
73,2022-11-23 16:12:17+00:00,"@SummerSmith80 @JamelJackson10 @RonFilipkowski This seems to be the Republican’s game plan:  put unqualified, easily controlled dupes in positions of power. Ergo, MTG, LoBo, Amy Coney Barrett, JD Vance, Kari Lake, Hershel….",HelloDearVoid,,0,1
74,2022-11-23 16:08:21+00:00,@jp262 I imagine we’re done seeing carpet bagger JD Vance. Even though he won.,VWAimlessly,Wandering Aimlessly,0,2
75,2022-11-23 16:02:02+00:00,JD Vance is a perfect example of the stupidity of GOP voters in Ohio. https://t.co/ILXaXvx2zp,rgpenny1,"San Antonio, TX",0,0
76,2022-11-23 15:50:17+00:00,@realtonysm1th @thefactualprep Read the American Con article on if Ohio is ready for JD Vance,Coolapple28,"San Francisco, CA",0,0
77,2022-11-23 15:46:33+00:00,"@mtsw also, JD fucking Vance!",cmophosho,,0,0
78,2022-11-23 15:42:36+00:00,@KenNYbUnchained @thehill MAGA GOP JD Vance won by 7 points. Non-MAGA GOP Mike DeWine won by 25 points. Republicans lost House seats in Ohio. No I am not making anything up lol,teddy_willard,,0,0
79,2022-11-23 15:40:59+00:00,"@teddy_willard @thehill What? Are you just making things up as you go??

October 2022

https://t.co/rsEVNlWtAf

November 8th
https://t.co/exm4nNr3cm",KenNYbUnchained,,0,0
80,2022-11-23 15:37:49+00:00,"@KenNYbUnchained @thehill The Republicans lost a lot of ground in Ohio including losing House seats. JD Vance dramatically underperformed Mike DeWine.

Florida, sure, except that was driven by DeSantis' popularity more than anything.",teddy_willard,,0,0
81,2022-11-23 15:36:45+00:00,"@KenNYbUnchained @thehill Non-MAGA GOP overperformed MAGA GOP statewide pretty much everywhere. In Georgia, Brad Raffensperger, who Trump hates won by a landslide, while Herschel Walker barely made a runoff. In Ohio, Mike DeWine did way better than JD Vance. Just a couple of many examples there.",teddy_willard,,0,0
82,2022-11-23 15:31:59+00:00,RT @capitolhunters: Thiel and Sacks both own social media sites now. Thiel’s Rumble is for the alt-right; it also hosts Trump’s Truth Socia…,people_NOTcorps,United States,163,0
83,2022-11-23 15:23:54+00:00,JD Vance is making a fool of himself already - Palmer Report https://t.co/ctoMiPlKVm,rep4bettergovt,Planet Earth,0,0
84,2022-11-23 15:21:08+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,SalVadacchino1,"🇨🇦 Montréal, Québec 🇨🇦",79,0
85,2022-11-23 15:18:26+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,peteralanwaller,"Kingston,  Ontario Canada",79,0
86,2022-11-23 15:03:04+00:00,"Big night for DeSantis.

Otherwise no red wave.

Senate likely holds, House flips.

Crypto wins three new GOP Senators in JD Vance, Ted Budd, Markwayne Mullin (and maybe Katie Britt?)",Brittnyellen,Australia,0,0
87,2022-11-23 14:43:34+00:00,"RT @RDispatches: ""Masters’ &amp; Vance’s policies &amp; their extreme stances are similar, sometimes interchangeable,"" writes @ardenthistorian. ""Pa…",abrashTX,Tonkawa and Comanche land,3,0
88,2022-11-23 14:42:37+00:00,"@PamKeithFL I agree with you. The DNC and DCCC ONLY interest is bowing to their corp and rich donors.  They gave millions to the Maga candidates, and those who refuse to take PAC money they let the JD Vance's win.  Disgusting! Clean house !",lady26611236,,0,0
89,2022-11-23 14:38:42+00:00,"RT @RDispatches: ""Masters’ &amp; Vance’s policies &amp; their extreme stances are similar, sometimes interchangeable,"" writes @ardenthistorian. ""Pa…",prof_gabriele,"Virginia, USA",3,0
90,2022-11-23 14:38:00+00:00,"""Masters’ &amp; Vance’s policies &amp; their extreme stances are similar, sometimes interchangeable,"" writes @ardenthistorian. ""Part of the answer [to Vance's victory] may lie not so much in their policies, but in the different types of fascism that they espouse."" https://t.co/PLGqt9ZjXL",RDispatches,"Somerville, MA",3,2
91,2022-11-23 14:30:00+00:00,"“I’ve never heard him say anything about Israel,” said one conservative foreign policy leader who has conversed with Thiel about a diversity of subjects. “And Thiel is someone who likes to speak his mind.” @matthewkassel
reports.

https://t.co/A79ZCo8Yal",J_Insider,,0,0
92,2022-11-23 14:22:58+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,Jackpotjackie22,"Pennsylvania, USA",79,0
93,2022-11-23 14:19:25+00:00,"@tomiahonen I’ve heard many people say, incoming Ohio Senator JD Vance, is The fake hillbilly Opioid King from San Francisco.",JGuzowski,,0,0
94,2022-11-23 13:57:29+00:00,JD Vance is making a fool of himself already https://t.co/wlSPQw9Ftd via @PalmerReport,cliffhangerCA,California,0,0
95,2022-11-23 13:51:14+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",the00Cima,,584,0
96,2022-11-23 13:49:36+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,Gemini_iam2,,79,0
97,2022-11-23 13:39:54+00:00,"@JamesBradleyCA JD Vance win and Herschel Walker runoff is proof that you really can run a turd 💩, not even polished, and people will vote for it.",jpasanello,"NY, Kent CT, CO, VA",0,0
98,2022-11-23 13:23:41+00:00,JD Vance is making a fool of himself already https://t.co/8Xghfmn35H via @PalmerReport,TsalagiOK,"Indian Country, Oklahoma",0,0
99,2022-11-23 13:08:12+00:00,JD Vance is making a fool of himself already https://t.co/AnNyNPg458 via @PalmerReport,Democrat4US,"Toledo, OH  USA",0,0
0,2022-11-23 23:58:30+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,JansInput,,13,0
1,2022-11-23 23:56:22+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",Oldword16,Here,57,0
2,2022-11-23 23:55:08+00:00,"RT @sarahkateellis: Raymond Green Vance (he/him)
Kelly Loving (she/her)
Daniel Aston (he/him)
Derrick Rump (he/him)
Ashley Paugh (she/ her)…",jd_perspective,"Orlando, FL",31,0
3,2022-11-23 23:48:15+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,ColleenPaige1,,13,0
4,2022-11-23 23:47:53+00:00,"@Roslynbooks @marceelias jd vance too, i think.",dbaerwald1,"MA, CA, WA, NY, MN, GA.",0,2
5,2022-11-23 23:44:20+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",BlazerJane,"Land of Deplorables, OH ",57,0
6,2022-11-23 23:40:20+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",ae4ca,"Brooklyn, NY",57,0
7,2022-11-23 23:38:13+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",Praise_the_Gord,"Kansas City, MO",57,0
8,2022-11-23 23:36:57+00:00,"@4ArTess12 Yes.
Republicans have a systematic campaign to demonize Ukraine and to normalize the idea that Russia is really not so bad. Tucker Carlson has been doing that for a long time, and recently Gabbard, Gaetz, JD Vance, Gosar, Greene, and others have been doing Russia's bidding.",RinoWag,"Sacramento, CA",0,1
9,2022-11-23 23:33:29+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,BeccaRay91,,13,0
10,2022-11-23 23:33:27+00:00,"Vance writes rather frantically. In his op-ed, Vance, says that money is to blame! Money is the REAL culprit in the disappointing midterms of the GOP. He blames ActBlue. He blames small democratic donors. He blames everything and everyone — except Trump.
https://t.co/IDi2bDEQzR",1stSvelteCelt,#Blue Florida Super Follower ,0,1
11,2022-11-23 23:30:42+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,BarneyRCN,,13,0
12,2022-11-23 23:27:12+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,BonnieNeilHays,,13,0
13,2022-11-23 23:25:29+00:00,"@marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; run for office in the state they do not even claim as their primary residence.  If they voted for themselves in those states is that voter fraud ?  Hmmm. It should be.",JHeslet,Michigan,57,138
14,2022-11-23 23:25:26+00:00,"..ABA/law-schools eliminate standardized tests (Weekly Reader puzzles would winnow out 30%+ of judges), the disaster will compound. The US Royal Class (certified as fact by Tucker Carlson &amp; JD Vance, and they are right) was supposedly eliminated in 1776. MAGeeky is the weapon now https://t.co/Qd273ISvhz",MakeUSAgeekyAgn,"Nouns:CousinItt/Thankyou,Thing",0,0
15,2022-11-23 23:24:33+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,beth_kania,,13,0
16,2022-11-23 23:11:12+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,StarGal065,,13,0
17,2022-11-23 23:09:16+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,sheeda418,"Los Angeles, CA",13,0
18,2022-11-23 23:08:55+00:00,"Land Grant will also have it on and they don’t host fundraisers for JD Vance…

Just saying. https://t.co/0wcndhKzkw",itsmeCodyD,"Ohio, USA",0,1
19,2022-11-23 23:04:15+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",jo4twenty,"Washington,dc area",584,0
20,2022-11-23 23:02:59+00:00,@FrannyWild @marceelias Cannot believe I would neglect to include JD Vance. He would make 4.,peterdavio,"ÜT: 34.963709,-78.947556",1,83
21,2022-11-23 23:02:52+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,skcalab,"New York, USA",13,0
22,2022-11-23 22:57:36+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,Tangela590,,13,0
23,2022-11-23 22:54:08+00:00,@FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,clobberintime27,The Comic shop...,13,422
24,2022-11-23 22:36:46+00:00,"I lost the election last time now let me spend half the time explaining my thought process how it was unfair

Meanwhile you have DeSantis, Kemp, &amp; Youngkin… (3 swing states) each of whom won big (only ones except JD Vance but that’s Ohio) &amp; also got dissed by Trump the next day",TheFalconDive,,0,0
25,2022-11-23 22:33:35+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,PatriciaBuress,,79,0
26,2022-11-23 22:31:16+00:00,Ohio had Tim Ryan and instead they chose JD Vance! It’s ridiculous &amp; reflects the degraded mentality that has seeped into the whole Ohio population.,jm_dent,,1,3
27,2022-11-23 22:14:58+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,Lindy255,USA,79,0
28,2022-11-23 22:07:38+00:00,@realTuckFrumper JD Vance “won”….why aren’t Dems demanding a revote????,Wiley_PA16,,0,1
29,2022-11-23 21:36:59+00:00,RT @LahavHarkov: This is interesting https://t.co/TnIPCkDdII,DutchRenitent,Amsterdam,5,0
30,2022-11-23 21:34:19+00:00,RT @LahavHarkov: This is interesting https://t.co/TnIPCkDdII,matthewkassel,New York,5,0
31,2022-11-23 20:34:45+00:00,RT @LahavHarkov: This is interesting https://t.co/TnIPCkDdII,J_Insider,,5,0
32,2022-11-23 20:29:45+00:00,@CalvinMcgettig1 @brianklaas Ron winning had zero to do with gerrymandering it was a state office election. JD Vance carried Ohio which is also a statewide vote so that is a strong indicator of why the honorable Jim Jordon won.,hughessarge2,,0,0
33,2022-11-23 20:20:28+00:00,@thedemsocmarul Dude? You need some help on a couple of these (JD Vance 💀),Dem_Soc_Dem_S,Texas,0,1
34,2022-11-23 20:16:40+00:00,@brithume JD Vance won.  How many did Mitch get on the Senate you absolute turd…..,SloanRitchey,,0,2
35,2022-11-23 20:16:14+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,burialdeferred,,79,0
36,2022-11-23 20:14:02+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,AnnMB48,England,79,0
37,2022-11-23 20:13:45+00:00,"@IBobomb @SingSec44 @RepJeffries I don't literally believe that. It's a meme. JD Vance won without cheating. So did everyone in Florida. But that's also dependent on what you consider cheating. If gerrymandering falls under that header, both sides are guilty, but Republicans much moreso",TheVXTian,"Philadelphia, PA",0,0
38,2022-11-23 20:10:49+00:00,@DavidPepper Thank you for sharing this....I'm still pissed JD Vance won....gerrymandering at its' best,jedderm,"Ohio, USA",0,0
39,2022-11-23 20:06:53+00:00,"@BarackObama A shame Ohio Supreme Court is corrupted with 3 Republican justices, one of whom is the governor’s son.   Deep red state except for a pocket in NW Ohio that smacked down an insurrectionist candidate for the House.  Rob Portman’s seat was paid for by Moscow Mitch for JD Vance",bukeyemama,,0,0
40,2022-11-23 20:05:09+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",DesiRN,"Summit, PA",584,0
41,2022-11-23 20:04:09+00:00,@TruckersVote JD Vance got elected here in Ohio by lying that Tim Ryan and the Democrats raised taxes on low to middle income Americans. Said they also wanted new IRS agents to go after middle class(not rich tax cheats!) BS made me want to throw something at the tv every time it came on.,tomthomas578,United States,0,1
42,2022-11-23 19:57:43+00:00,@DavidPepper Deplorable.  Wondering what explains how OH voters could elect JD Vance over Tim Ryan?  Something else is going on in OH that Dems need to figure out.,eadeere,,0,0
43,2022-11-23 19:36:42+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",wanderingmagus,Middle Earth,584,0
44,2022-11-23 19:30:55+00:00,@AEiffel95 @LRiddickESPN I don't know he may have voted for JD Vance.,bluucollarbro,locked out of paradise,0,0
45,2022-11-23 19:16:12+00:00,@DocSee3 i still dont get how ohio feel for the jd vance trap. they cant cry after he does nothing to help them and only cares about all the bull bleep from the maga base.,snackgod,livermore,0,0
46,2022-11-23 19:03:20+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",JayneHo30995128,United States,584,0
47,2022-11-23 19:02:53+00:00,"@Onlymaybenate @ET_Californian While JD Vance is slimy and unimaginably terrible, I’d trust him enough to eat a pudding cup unsupervised where I wouldn’t trust Walker.",demon_helpful,"Honolulu, HI",0,1
48,2022-11-23 18:52:30+00:00,"Why are Texans being paid to take over American States only residing 2 yrs if that?
Scott
Walker, etc…..
This is dirty money pool, we are not letting this Country get like screwed up like Texas.🤬🤬🤬🤬🤬🤬🤬🤬
Ted Cruz bad
Abbott bad man JD Vance. All evil people.",305SeaBird65,"Key Largo, FL",0,0
49,2022-11-23 18:52:13+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,bming5,"Denver, colorado",108,0
50,2022-11-23 18:51:28+00:00,"@PeteJoh91494931 @realLizUSA JD Vance of Ohio. MAGA are just pissed on and looking for political and cultural(culture war) revenge… because they have dined on fear, hate and grievances sold to you by rush, Hannity Bannon ( who by the way are or were the media)… then MAGA and social media echo chambers. https://t.co/nUuZVDgfIe",MrGreen96385653,"Omaha, NE",0,0
51,2022-11-23 18:36:56+00:00,"My complaints about lack of acknowledgement of mass shootings are pointless, anyway, since we'd just get the same ""Jane and I are horrified by the violence..."" rhetoric. I think JD Vance will say things like guests of Tucker Carlson who claim the gays deserved what they got.💔",thockman64,"Columbus, OH",0,1
52,2022-11-23 18:35:28+00:00,RT @kreerpro: JD Vance came to Dayton. He decried the crime rate here (which is down 20% since 20) and that families can't come downtown fo…,findjacob,,2,0
53,2022-11-23 18:27:58+00:00,"Why would people vote early if they didn’t vote at all? GOP and DNC have totally ignored White people. White people turn out for good policies. Rob doesn’t want to talk about good policy tho and the GOP have none. 

JD Vance did well. He ran a populist campaign. Stop lying, Rob. https://t.co/379ETgLNji",NJPeterTefft,,0,10
54,2022-11-23 18:23:00+00:00,@demon_helpful @ET_Californian Idk if it's even possible but then JD Vance won the primary and general in Ohio so at this point nothing surprises me,Onlymaybenate,Ocean State,0,1
55,2022-11-23 18:07:21+00:00,RT @LahavHarkov: This is interesting https://t.co/TnIPCkDdII,reethanfreedman,Israel,5,0
56,2022-11-23 18:07:00+00:00,RT @LahavHarkov: This is interesting https://t.co/TnIPCkDdII,JoshKraushaar,"Washington, DC",5,0
57,2022-11-23 18:03:22+00:00,This is interesting https://t.co/TnIPCkDdII,LahavHarkov,Jerusalem\Tel Aviv,5,11
58,2022-11-23 17:59:14+00:00,"JD Vance is making a fool of himself already https://t.co/vBMlwOCwD0 via @PalmerReport 
This is especially nauseating in view of Vance’s sugar-daddies, Thiel and McConnell.",SIwanisziw,massachusetts usa,0,0
59,2022-11-23 17:56:22+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,TechlibTate,USA,79,0
60,2022-11-23 17:48:54+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,scotchmac1,"Wisconsin, USA",108,0
61,2022-11-23 17:24:58+00:00,@MichaelFromIL @MillerStanIL Not saying I support it but that’s the likely outcome and in Ohio don’t be surprised if the people in power don’t get punished JD Vance won by 6.5 against an amazing dem candidate so I don’t think there’s hope for the Ohio democrats,Kadenfarr,Ur moms house ,0,0
62,2022-11-23 17:23:02+00:00,"RT @RichardMThomps1: @ElieNYC Had Merrick Garland is not the coward that he is, and prosecuted the white nationalist former republican pres…",psychwriter1515,"Portland, OR",5,0
63,2022-11-23 17:19:55+00:00,JD Vance is making a fool of himself already - Palmer Report https://t.co/WRFTZeTcyw,RiskAlert,"Parkland, FL",0,0
64,2022-11-23 17:11:33+00:00,"RT @MyDogsMom12: @itsJeffTiedrich Their names are Greg Abbott, Ron DeSantis, Marjorie Taylor Greene, Matt Gaetz, Ron Johnson, JD Vance, Pet…",BruceJe90794968,,2,0
65,2022-11-23 17:06:42+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,TwitRitter,"Colorado, USA",108,0
66,2022-11-23 17:04:59+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,patsdunc,Colorado,108,0
67,2022-11-23 16:45:12+00:00,"@KDunke @mattgaetz I like Matt Gaetz, JD Vance, Jim Jordan, ect… every Trump endorsed Republican candidate I like. The only thing I’m against is the war in Ukraine and Republicans need to stop supporting the war in Ukraine.",CKGMJG777,,0,0
68,2022-11-23 16:39:50+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,ja90222579,,79,0
69,2022-11-23 16:36:44+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,JrHollis60,,79,0
70,2022-11-23 16:26:50+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,MaryNesham,Central Ohio,79,0
71,2022-11-23 16:22:37+00:00,WOW: JD Vance Stuns with Epic Election Victory https://t.co/ymJytEk9Ik,purplepismire,"Missouri, USA",0,0
72,2022-11-23 16:13:46+00:00,"@OSU_AD When Ohio elects people Gym Jordan and JD Vance to represent them, America has a pretty good idea of what Ohio's values...",ThePKG,"Massachusetts, USA",0,2
73,2022-11-23 16:12:17+00:00,"@SummerSmith80 @JamelJackson10 @RonFilipkowski This seems to be the Republican’s game plan:  put unqualified, easily controlled dupes in positions of power. Ergo, MTG, LoBo, Amy Coney Barrett, JD Vance, Kari Lake, Hershel….",HelloDearVoid,,0,1
74,2022-11-23 16:08:21+00:00,@jp262 I imagine we’re done seeing carpet bagger JD Vance. Even though he won.,VWAimlessly,Wandering Aimlessly,0,2
75,2022-11-23 16:02:02+00:00,JD Vance is a perfect example of the stupidity of GOP voters in Ohio. https://t.co/ILXaXvx2zp,rgpenny1,"San Antonio, TX",0,0
76,2022-11-23 15:50:17+00:00,@realtonysm1th @thefactualprep Read the American Con article on if Ohio is ready for JD Vance,Coolapple28,"San Francisco, CA",0,0
77,2022-11-23 15:46:33+00:00,"@mtsw also, JD fucking Vance!",cmophosho,,0,0
78,2022-11-23 15:42:36+00:00,@KenNYbUnchained @thehill MAGA GOP JD Vance won by 7 points. Non-MAGA GOP Mike DeWine won by 25 points. Republicans lost House seats in Ohio. No I am not making anything up lol,teddy_willard,,0,0
79,2022-11-23 15:40:59+00:00,"@teddy_willard @thehill What? Are you just making things up as you go??

October 2022

https://t.co/rsEVNlWtAf

November 8th
https://t.co/exm4nNr3cm",KenNYbUnchained,,0,0
80,2022-11-23 15:37:49+00:00,"@KenNYbUnchained @thehill The Republicans lost a lot of ground in Ohio including losing House seats. JD Vance dramatically underperformed Mike DeWine.

Florida, sure, except that was driven by DeSantis' popularity more than anything.",teddy_willard,,0,0
